,year,addressed,left
0,1978,1001,508
1,1979,601,617
2,1980,664,476
3,1981 (3.5 mos.),342,679
4,1982,633,508
5,1983,399,556
6,1984,368,635
7,1985,314,728
8,1986,345,745
9,1987,334,821
10,1988,535,673
11,1989 (3.5 mos.),434,612
12,1990,289,681
13,1991,710,289
14,1992,192,476
15,1993 (3.5 mos.),289,1061
16,1994,785,1071
17,1995,644,1039
18,1996,371,1180
19,1997,555,1304
20,1998,399,1513
21,1999,649,1872
22,2000,1103,2157
23,2001 (3.5 mos.),741,3321
24,2002,2278,2290
25,2003,1057,2246
26,2004,974,2459
27,2005,870,2650
28,2006,1441,2223
29,2007,429,3054
30,2008,3208,2172
31,2009 (3.5 mos.),1786,3009
32,2010,456,4717
33,2011,4466,2166
34,2012,1038,3058
35,2013,2192,3539
36,2014,1660,8713
37,2015,1936,10070
38,2016,8831,13267
39,2017 (3.5 mos.),8633,11202
40,2018 (9 mos.),1331,11118
